SCHOOL_ID,LOW,MED,HIGH,CAP
4300,0.6432,0.3568,0,1430
4314,0.0141,0.4592,0.5267,1186
4322,0.0209,0.1971,0.782,788
4329,0.989,0.011,0,791
4335,0.9646,0.0324,0.0029,521
4338,0.0218,0.7109,0.2673,705
4349,0.2485,0.1864,0.5652,675
4352,0.3119,0.6595,0.0286,780
4365,0.9984,0.0016,0,676
4367,0.1612,0.084,0.7548,653
4369,0.0328,0.6481,0.3191,687
4379,0.2037,0.1898,0.6065,495
4382,0.0028,0.4484,0.5488,1046
4383,0.0045,0.008,0.9875,1081
4385,0.1162,0.1919,0.6919,722
4392,0,0.0059,0.9941,962
4398,0.8193,0.127,0.0537,661
4406,0.0022,0.0947,0.9031,893
4408,0.9889,0.0083,0.0028,966
4410,0.9255,0.0745,0,1073
4422,0.8085,0.1352,0.0563,953
4424,0.7237,0.2561,0.0202,1002
4432,0.3329,0.6671,0,884
4436,0.0237,0.9748,0.0015,800
4437,0.0012,0.1153,0.8835,807
4438,0.4405,0.2078,0.3517,617
4440,0.4876,0.4628,0.0495,865
4447,0.1991,0.4279,0.3729,1022
4449,0.0293,0.3661,0.6046,553
4451,0.0157,0.1415,0.8428,549
4453,0.9415,0.057,0.0015,870
4459,0.9324,0.0676,0,683
4471,0.9873,0.0114,0.0013,681
4478,0.8147,0.1787,0.0066,849
4484,0.6107,0.3538,0.0355,677
4491,0.0097,0.0594,0.9309,799
4493,0.0109,0.6659,0.3232,779
4500,0.3437,0.6065,0.0498,911
4501,0.809,0.1294,0.0616,558
4503,0.2903,0.7097,0,1014
4507,0,0.0022,0.9978,943
4512,0.692682927,0.043902439,0.263414634,720
4516,0.0193,0.9716,0.009,885
4519,0.7506,0.1645,0.0848,578
4522,0.073,0.146,0.781,845
4527,0.7186,0.0911,0.1903,531
4530,0.006,0.1856,0.8084,769
4534,0.274,0.4876,0.2384,689
4545,0.9736,0.0264,0,479
4549,0.1443,0.8544,0.0013,757
4550,0.7938,0.2062,0,780
4587,0.9868,0.0119,0.0013,1063
4588,0.0153,0.8908,0.0939,665
4589,0.9793,0.0207,0,825
4590,0.005,0.7366,0.2584,774